t,r,y,u
0.88000000,0.00000000,0.00000000,0.00000000
0.90000000,0.00000000,0.00000000,0.00000000
0.92000000,0.00000000,0.00000000,0.00000000
0.94000000,0.00000000,0.00000000,0.00000000
0.96000000,0.00000000,0.00000000,0.00000000
0.98000000,0.00000000,0.00000000,0.00000000
1.00000000,360.00000000,0.00000000,0.00000000
1.02000000,360.00000000,115.71428680,3.19276333
1.04000000,360.00000000,282.85714722,2.66233611
1.06000000,360.00000000,372.85717773,1.45867443
1.08000000,360.00000000,379.28573608,0.72423661
1.10000000,360.00000000,385.71432495,0.64263248
1.12000000,360.00000000,372.85717773,0.55082756
1.14000000,360.00000000,372.85717773,0.63243175
1.16000000,360.00000000,366.42858887,0.61203063
1.18000000,360.00000000,360.00003052,0.65283281
1.20000000,360.00000000,360.00003052,0.70383525
1.22000000,360.00000000,366.42858887,0.70383519
1.24000000,360.00000000,360.00003052,0.64263213
1.26000000,360.00000000,360.00003052,0.69363457
1.28000000,360.00000000,366.42858887,0.69363451
1.30000000,360.00000000,360.00003052,0.63243145
1.32000000,360.00000000,366.42858887,0.68343389
1.34000000,360.00000000,360.00003052,0.62223083
1.36000000,360.00000000,360.00003052,0.67323327
1.38000000,360.00000000,360.00003052,0.67323321
1.40000000,360.00000000,353.57144165,0.67323315
1.42000000,360.00000000,360.00003052,0.73443639
1.44000000,360.00000000,366.42858887,0.68343359
1.46000000,360.00000000,353.57144165,0.62223053
1.48000000,360.00000000,360.00003052,0.73443627
1.50000000,360.00000000,360.00003052,0.68343347
1.52000000,360.00000000,360.00003052,0.68343341
1.54000000,360.00000000,360.00003052,0.68343335
1.56000000,360.00000000,360.00003052,0.68343329
1.58000000,360.00000000,360.00003052,0.68343323
1.60000000,360.00000000,353.57144165,0.68343318
1.62000000,360.00000000,360.00003052,0.74463642
1.64000000,360.00000000,366.42858887,0.69363362
1.66000000,360.00000000,360.00003052,0.63243055
1.68000000,360.00000000,353.57144165,0.68343300
1.70000000,360.00000000,360.00003052,0.74463624
1.72000000,360.00000000,360.00003052,0.69363344
1.74000000,360.00000000,360.00003052,0.69363338
1.76000000,360.00000000,360.00003052,0.69363332
1.78000000,360.00000000,360.00003052,0.69363326
1.80000000,360.00000000,360.00003052,0.69363320
1.82000000,360.00000000,360.00003052,0.69363314
1.84000000,360.00000000,360.00003052,0.69363308
1.86000000,360.00000000,360.00003052,0.69363302
1.88000000,360.00000000,360.00003052,0.69363296
1.90000000,360.00000000,360.00003052,0.69363290
1.92000000,360.00000000,360.00003052,0.69363284
1.94000000,360.00000000,360.00003052,0.69363278
1.96000000,360.00000000,360.00003052,0.69363272
1.98000000,360.00000000,360.00003052,0.69363266
2.00000000,360.00000000,360.00003052,0.69363260
2.02000000,360.00000000,360.00003052,0.69363254
2.04000000,360.00000000,360.00003052,0.69363248
2.06000000,360.00000000,360.00003052,0.69363242
2.08000000,360.00000000,360.00003052,0.69363236
2.10000000,360.00000000,360.00003052,0.69363230
2.12000000,360.00000000,353.57144165,0.69363225
2.14000000,360.00000000,366.42858887,0.75483549
2.16000000,360.00000000,360.00003052,0.64262968
2.18000000,360.00000000,360.00003052,0.69363213
2.20000000,360.00000000,360.00003052,0.69363207
2.22000000,360.00000000,360.00003052,0.69363201
2.24000000,360.00000000,360.00003052,0.69363195
2.26000000,360.00000000,353.57144165,0.69363189
2.28000000,360.00000000,366.42858887,0.75483513
2.30000000,360.00000000,360.00003052,0.64262933
2.32000000,360.00000000,360.00003052,0.69363177
2.34000000,360.00000000,360.00003052,0.69363171
2.36000000,360.00000000,353.57144165,0.69363165
2.38000000,360.00000000,360.00003052,0.75483489
2.40000000,360.00000000,360.00003052,0.70383209
2.42000000,360.00000000,360.00003052,0.70383203
2.44000000,360.00000000,360.00003052,0.70383197
2.46000000,360.00000000,360.00003052,0.70383191
2.48000000,360.00000000,360.00003052,0.70383185
